,State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
44, AL,MADISON ,3282,356967,919.41,834.15,0.12%
45, AL,MARENGO ,270,19673,1372.44,963.87,0.01%
46, AL,MARION ,388,29998,1293.42,929.52,0.01%
47, AL,MARSHALL ,1187,95157,1247.41,1052.75,0.04%
48, AL,MOBILE ,4411,414836,1063.31,944.44,0.16%
49, AL,MONROE ,237,21530,1100.79,861.85,0.01%
50, AL,MONTGOMERY ,2150,226349,949.86,877.61,0.08%
51, AL,MORGAN ,1318,119012,1107.45,921.86,0.05%
52, AL,PERRY ,129,9574,1347.4,1047.35,0.00%
53, AL,PICKENS ,250,20324,1230.07,953.32,0.01%
54, AL,PIKE ,302,33286,907.29,866.12,0.01%
