State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
GA,Bacon,137,11372,1204.71,1109.5,0.00%
GA,Baker,44,3150,1396.83,999.32,0.00%
GA,Baldwin,455,45144,1007.89,929.53,0.02%
GA,Banks,148,18397,804.48,713.61,0.01%
GA,Barrow,556,77126,720.9,791.92,0.02%
GA,Bartow,919,103807,885.3,905.12,0.03%
GA,Ben Hill,217,17243,1258.48,1105.62,0.01%
GA,Berrien,231,18993,1216.24,1022.47,0.01%
GA,Bibb,1686,152760,1103.69,985.61,0.06%
GA,Bleckley,147,12970,1133.38,903.04,0.01%
GA,Brantley,198,18355,1078.73,973.27,0.01%
GA,Brooks,195,15687,1243.07,1001.45,0.01%
GA,Bryan,271,36230,748,866.76,0.01%
GA,Bulloch,539,74722,721.34,876.01,0.02%
GA,Burke,246,22688,1084.27,990.9,0.01%
GA,Butts,276,23817,1158.84,1023.85,0.01%
GA,Calhoun,60,6324,948.77,805.95,0.00%
GA,Camden,362,53008,682.92,779.33,0.01%
GA,Candler,149,10910,1365.72,1129.84,0.01%
GA,Carroll,1083,116261,931.52,965.71,0.04%
GA,Catoosa,681,66398,1025.63,857.21,0.02%
GA,Charlton,85,12497,680.16,609.5,0.00%
GA,Chatham,2493,289082,862.39,805.49,0.09%
GA,Chattahoochee,38,10922,347.92,840.94,0.00%
GA,Chattooga,330,24824,1329.36,1094.58,0.01%
GA,Cherokee,1500,241689,620.63,698.48,0.05%
GA,Clarke,764,124707,612.64,759.67,0.03%
GA,Clay,52,3020,1721.85,1100.09,0.00%
GA,Clayton,1655,279462,592.21,826.98,0.06%
GA,Clinch,93,6829,1361.84,1296.27,0.00%
GA,Cobb,4298,748150,574.48,667.53,0.16%
GA,Coffee,437,43012,1016,1070.12,0.02%
GA,Colquitt,468,45708,1023.89,976.76,0.02%
GA,Columbia,923,147450,625.97,678.91,0.03%
GA,Cook,157,17167,914.55,827.12,0.01%
GA,Coweta,1070,140526,761.42,800.12,0.04%
GA,Crawford,139,12322,1128.06,968.76,0.01%
GA,Crisp,246,22721,1082.7,864.77,0.01%
GA,Dade,180,16257,1107.22,875.6,0.01%
GA,Dawson,205,23604,868.5,780.89,0.01%
GA,Decatur,316,26822,1178.14,968.38,0.01%
GA,Dekalb,4394,740321,593.53,670.96,0.16%
GA,Dodge,246,20563,1196.32,1035.41,0.01%
GA,Dooly,129,13763,937.3,771.66,0.00%
GA,Dougherty,940,90017,1044.25,957.77,0.03%
GA,Douglas,971,142224,682.73,820.84,0.04%
GA,Early,131,10339,1267.05,933.86,0.00%
GA,Echols,30,3962,757.19,853.31,0.00%
GA,Effingham,447,58712,761.34,875.05,0.02%
GA,Elbert,260,19143,1358.2,965.11,0.01%
GA,Emanuel,293,22635,1294.46,1108.85,0.01%
GA,Evans,104,10670,974.7,882.45,0.00%
GA,Fannin,350,24900,1405.62,859.09,0.01%
GA,Fayette,863,111627,773.11,624.55,0.03%
GA,Floyd,1092,96560,1130.9,937.53,0.04%
GA,Forsyth,1120,221009,506.77,610.39,0.04%
GA,Franklin,294,22320,1317.2,979.39,0.01%
GA,Fulton,6535,1023336,638.6,699.91,0.24%
GA,Gilmer,337,29733,1133.42,806.21,0.01%
GA,Glascock,50,3006,1663.34,1139.81,0.00%
GA,Glynn,868,84502,1027.19,803.29,0.03%
GA,Gordon,526,56904,924.36,905.86,0.02%
GA,Grady,274,24808,1104.48,923.96,0.01%
GA,Greene,191,17003,1123.33,751.69,0.01%
GA,Gwinnett,4258,907135,469.39,642.04,0.16%
GA,Habersham,480,44246,1084.84,871.16,0.02%
GA,Hall,1495,196637,760.28,720.02,0.05%
GA,Hancock,109,8640,1261.57,845.6,0.00%
GA,Haralson,389,29042,1339.44,1155.42,0.01%
GA,Harris,253,33652,751.81,637.39,0.01%
GA,Hart,315,25553,1232.73,849.63,0.01%
GA,Heard,148,11487,1288.41,1107.79,0.01%
GA,Henry,1461,221768,658.8,793.82,0.05%
GA,Houston,1181,152122,776.35,824.75,0.04%
GA,Irwin,114,9422,1209.93,935.54,0.00%
GA,Jackson,618,64615,956.43,984.31,0.02%
GA,Jasper,137,13654,1003.37,894.2,0.00%
GA,Jeff Davis,182,14877,1223.36,1230.82,0.01%
GA,Jefferson,208,15916,1306.86,1018.44,0.01%
GA,Jenkins,102,8849,1152.67,952.55,0.00%
GA,Johnson,105,9505,1104.68,932.15,0.00%
GA,Jones,252,28623,880.41,750.42,0.01%
GA,Lamar,215,18469,1164.11,988.92,0.01%
GA,Lanier,88,10399,846.24,865.26,0.00%
GA,Laurens,566,47516,1191.18,926.33,0.02%
GA,Lee,201,29337,685.14,761.38,0.01%
GA,Liberty,369,62570,589.74,888.37,0.01%
GA,Lincoln,95,7828,1213.59,853.79,0.00%
GA,Long,91,18437,493.57,713.28,0.00%
GA,Lowndes,908,114628,792.13,884.75,0.03%
GA,Lumpkin,265,31445,842.74,774.33,0.01%
GA,Macon,156,13450,1159.85,1062.86,0.01%
GA,Madison,292,28824,1013.04,893.73,0.01%
GA,Marion,76,8524,891.6,747.98,0.00%
GA,Mcduffie,225,21490,1047,898.35,0.01%
GA,Mcintosh,134,13927,962.16,650.76,0.00%
GA,Meriwether,296,21074,1404.57,1043.6,0.01%
GA,Miller,89,5926,1501.86,1083.93,0.00%
GA,Mitchell,230,22459,1024.09,852.25,0.01%
GA,Monroe,282,27306,1032.74,787.83,0.01%
GA,Montgomery,79,9060,871.96,764.26,0.00%
GA,Morgan,185,18170,1018.16,773.25,0.01%
GA,Murray,406,39315,1032.68,1019.01,0.01%
