,State,County,Hospital,Number of Completed Surveys,FIPS
435,IA,Montgomery,1.0,152.0,19137
436,IA,Muscatine,1.0,210.0,19139
437,IA,Obrien,2.0,142.0,19141
438,IA,Osceola,1.0,123.0,19143
439,IA,Page,2.0,183.0,19145
440,IA,Palo Alto,1.0,50.0,19147
441,IA,Plymouth,1.0,144.0,19149
442,IA,Polk,4.0,6489.0,19153
443,IA,Pottawattamie,2.0,1800.0,19155
444,IA,Poweshiek,1.0,328.0,19157
445,IA,Sac,1.0,50.0,19161
446,IA,Scott,2.0,3545.0,19163
447,IA,Shelby,1.0,170.0,19165
448,IA,Sioux,4.0,381.0,19167
449,IA,Story,2.0,723.0,19169
450,IA,Union,1.0,205.0,19175
451,IA,Van Buren,1.0,50.0,19177
452,IA,Wapello,1.0,300.0,19179
453,IA,Washington,1.0,130.0,19183
454,IA,Webster,1.0,363.0,19187
455,IA,Winneshiek,1.0,257.0,19191
456,IA,Woodbury,2.0,1605.0,19193
457,IA,Wright,2.0,502.0,19197
458,ID,Ada,3.0,5651.0,16001
459,ID,Bannock,1.0,650.0,16005
460,ID,Bear Lake,1.0,82.0,16007
461,ID,Benewah,1.0,72.0,16009
462,ID,Bingham,2.0,329.0,16011
463,ID,Blaine,1.0,268.0,16013
464,ID,Bonner,1.0,354.0,16017
465,ID,Bonneville,2.0,1488.0,16019
466,ID,Canyon,2.0,1247.0,16027
467,ID,Caribou,1.0,52.0,16029
468,ID,Cassia,1.0,284.0,16031
469,ID,Clearwater,1.0,234.0,16035
470,ID,Elmore,1.0,96.0,16039
471,ID,Franklin,1.0,142.0,16041
472,ID,Gooding,1.0,115.0,16047
473,ID,Idaho,2.0,346.0,16049
474,ID,Jerome,1.0,95.0,16053
475,ID,Kootenai,2.0,1726.0,16055
476,ID,Latah,1.0,222.0,16057
477,ID,Lemhi,1.0,114.0,16059
478,ID,Madison,1.0,545.0,16065
479,ID,Minidoka,1.0,108.0,16067
480,ID,Nez Perce,1.0,892.0,16069
481,ID,Shoshone,1.0,50.0,16079
482,ID,Teton,1.0,50.0,16081
483,ID,Twin Falls,1.0,1490.0,16083
484,ID,Valley,2.0,184.0,16085
485,ID,Washington,1.0,76.0,16087
486,IL,Adams,1.0,529.0,17001
487,IL,Bond,1.0,125.0,17005
488,IL,Bureau,2.0,578.0,17011
489,IL,Champaign,2.0,4526.0,17019
490,IL,Christian,2.0,242.0,17021
491,IL,Clay,1.0,98.0,17025
492,IL,Clinton,1.0,357.0,17027
493,IL,Coles,1.0,790.0,17029
494,IL,Cook,49.0,50586.0,17031
495,IL,Crawford,1.0,101.0,17033
496,IL,Dekalb,2.0,1246.0,17037
497,IL,Dewitt,1.0,72.0,17039
498,IL,Dupage,6.0,9632.0,17043
499,IL,Edgar,1.0,147.0,17045
500,IL,Effingham,1.0,1365.0,17049
501,IL,Fayette,1.0,73.0,17051
502,IL,Ford,1.0,271.0,17053
503,IL,Franklin,1.0,50.0,17055
